nombre,disco,fecha_lanzamiento,duracion,genero
s.t.p.,sublime,1998-01-01,107.0,reggae
just between you and me,porter wagoner,1967-01-01,27.0,country
7 years,lukas graham,2016-01-01,129.0,pop
devil's gonna git you,bessie smith,1993-01-01,75.0,blues
nugget,cake,1996-01-01,149.0,pop
a time for us,engelbert humperdinck,1969-01-01,39.0,pop
1957,milo greene,2012-01-01,77.0,pop
adolescent dream,manfred mann's earth band,1980-01-01,26.0,blues
heaven,jelly roll,2017-01-01,185.0,country
wild streak,hank williams, jr.,1988-01-01,104.0,country
rodeo,juvenile,2006-01-01,162.0,pop
little by little,junior wells,1957-01-01,49.0,blues
bury me,the smashing pumpkins,1991-01-01,49.0,pop
love like we do,edie brickell & new bohemians,1988-01-01,27.0,pop
stood up,john hiatt,1987-01-01,89.0,country
if i hock my guitar (feat. self-made men),delbert mcclinton,2019-01-01,50.0,blues
just dropped in,kenny rogers,1977-01-01,73.0,country
i wouldn't treat a dog (the way you treat me),mike zito,2018-01-01,124.0,blues
live at e's,sublime,1991-01-01,104.0,reggae
always on my mind / in my house,pet shop boys,1988-01-01,84.0,pop
sweet home alabama,the outlaws,2007-01-01,82.0,blues
i hate music,the replacements,1981-01-01,37.0,country
shape of love,passenger,2010-01-01,91.0,pop
a place to start,white denim,2013-01-01,34.0,blues
trailer trash,modest mouse,1997-01-01,94.0,pop
theatre is the life of you,minutemen,1984-01-01,20.0,pop
better be good to me,tina turner,1991-01-01,116.0,pop
yesterday,gladys knight & the pips,1968-01-01,48.0,pop
an old faded photograph,hank thompson,1961-01-01,33.0,country
one song,dave brubeck,1957-01-01,103.0,jazz
whatever it takes,imagine dragons,2017-01-01,52.0,rock
it's just a matter of time,randy travis,1989-01-01,56.0,country
never do a tango with an eskimo,alma cogan,1991-01-01,58.0,pop
tonight,andy williams,1962-01-01,33.0,pop
of a lifetime,journey,1975-01-01,35.0,rock
endless parade,gov't mule,2006-01-01,87.0,blues
get me away from here, i'm dying,belle & sebastian,1996-01-01,90.0,pop
i can too,roger creager,1998-01-01,44.0,country
maracatu atômico (trip hop),chico science,2005-01-01,63.0,hip hop
celebrated summer,hüsker dü,1985-01-01,63.0,pop
what time is it?,marshall crenshaw,1983-01-01,36.0,country
fortune faded,red hot chili peppers,2003-01-01,68.0,rock
rhymes and reasons,john denver,1973-01-01,76.0,rock
sick of life,godsmack,2000-01-01,35.0,rock
pieces,bonobo,2013-01-01,78.0,jazz
gone! the promises of yesterday,the mad lads,1984-01-01,95.0,blues
wicked gonna come,blues saraceno,2018-01-01,50.0,blues
lateralus,tool,2001-01-01,39.0,rock
you don't fool me,ufo,1978-01-01,55.0,blues
wish it would break,dierks bentley,2003-01-01,61.0,country
cantaloupe island,donald byrd,1964-01-01,17.0,jazz
(there's gotta be) more to life,stacie orrico,2003-01-01,86.0,pop
man in the trunk,young dro,2018-01-01,96.0,hip hop
here comes the night,them,2015-01-01,70.0,blues
i do adore her,harry belafonte,1956-01-01,78.0,pop
ever fallen in love (with someone you shouldn't've?),buzzcocks,1978-01-01,24.0,rock
lonely street,don gibson,1960-01-01,45.0,country
down in mississippi,j.b. lenoir,1979-01-01,38.0,blues
with love (remember),gary moore,1994-01-01,71.0,blues
in love with you,the heptones,1968-01-01,33.0,reggae
trapped in a box,no doubt,1992-01-01,94.0,pop
stand up,sugarland,2010-01-01,41.0,country
i be u be,high valley,2016-01-01,66.0,country
restless sinner,black rebel motorcycle club,2005-01-01,109.0,blues
danny boy,ray price,1954-01-01,37.0,country
my way down,chris duarte,1994-01-01,51.0,blues
one more time,gyptian,2013-01-01,97.0,reggae
i sing them,ty segall,2019-01-01,88.0,blues
rockall,mezzoforte,1984-01-01,41.0,jazz
good luck,basement jaxx,2005-01-01,161.0,pop
conrad tokyo,a tribe called quest,2016-01-01,126.0,jazz
lonesome johnny blues,cracker,1993-01-01,96.0,country
blunts,nice & smooth,2018-01-01,86.0,hip hop
muddy water,ocean alley,2015-01-01,59.0,reggae
center of my world,chris young,2006-01-01,78.0,country
do you right tonight,eddie rabbitt,1976-01-01,88.0,country
satori part ii,flower travellin' band,1971-01-01,10.0,blues
swing low,ub40,2008-01-01,39.0,reggae
weary blues from waitin',hank williams,1978-01-01,56.0,country
are you still in love with me,sanchez,1994-01-01,33.0,reggae
woke the f*ck up,jon bellion,2016-01-01,32.0,pop
meant for you,the beach boys,1968-01-01,10.0,pop
here am i,johnnie ray,1955-01-01,25.0,pop
time for love,ahmad jamal,1985-01-01,148.0,jazz
life is hard,johnny winter,1991-01-01,38.0,blues
he's alive,dolly parton,1989-01-01,150.0,country
what you are,dave matthews band,2001-01-01,53.0,pop
happy birthday,loretta lynn,1968-01-01,65.0,country
you'll be in my heart,phil collins,1999-01-01,25.0,rock
a fool such as i,slim whitman,1960-01-01,27.0,country
on the other hand,keith whitley,1985-01-01,46.0,country
i wish grandpas never died,riley green,2019-01-01,157.0,country
headz up,nappy roots,2018-01-01,86.0,hip hop
so a child may follow,damian marley,2017-01-01,142.0,reggae
can't hide love,earth, wind & fire,1975-01-01,63.0,jazz
who i am,capleton,1999-01-01,170.0,reggae
sans toi,michel legrand,1962-01-01,39.0,jazz
on, on, on, on...,tom tom club,1981-01-01,23.0,pop
my love is your love,terry linen,1999-01-01,100.0,reggae
postmortem,slayer,1986-01-01,96.0,rock
play me,neil diamond,1973-01-01,49.0,pop
soldiers & jesus,james otto,2010-01-01,102.0,country
straight from the heart,the allman brothers band,1981-01-01,48.0,blues
young and foolish,bill evans,1959-01-01,31.0,jazz
action,terror fabulous,1993-01-01,86.0,rock
this girl is a woman now,gary puckett & the union gap,1968-01-01,64.0,pop
without you,harry nilsson,1971-01-01,18.0,pop
a fantasy,lee ritenour,1982-01-01,64.0,jazz
never again, again,lee ann womack,1997-01-01,24.0,country
safe,miranda lambert,2011-01-01,70.0,country
the good left undone,rise against,2006-01-01,99.0,pop
guilty of love,whitesnake,1984-01-01,76.0,blues
on your face,konshens,2012-01-01,83.0,reggae
moody woman,jerry butler,1992-01-01,131.0,blues
bi lambam,toumani diabaté,1999-01-01,73.0,blues
leave me alone,cross canadian ragweed,2004-01-01,49.0,country
harvest of sunshine,jimmy dean,1961-01-01,30.0,country
my summer love,the tymes,1963-01-01,87.0,blues
for the last time,rory gallagher,1971-01-01,28.0,blues
walk on by,aretha franklin,1964-01-01,40.0,blues
you were there,eric clapton,1998-01-01,23.0,blues
dark days,fat freddy's drop,2005-01-01,79.0,jazz
steady as the rain,dolly parton,1999-01-01,92.0,country
dyin',the marcus king band,2015-01-01,74.0,blues
all the time,green day,1997-01-01,74.0,pop
right now,rihanna,2012-01-01,83.0,pop
talkin' 'bout love,nazareth,1980-01-01,64.0,blues
she and i,alabama,1980-01-01,43.0,country
the way we make a broken heart,ry cooder,1980-01-01,58.0,blues
with a song in my heart,doris day,1954-01-01,46.0,jazz
hold me tighter,willie nelson,1967-01-01,43.0,country
highs 2 lows (feat. cise starr from cyne),nujabes,2003-01-01,65.0,jazz
surprise party (feat. blackbear),hoodie allen,2016-01-01,143.0,pop
crimson,morcheeba,2010-01-01,90.0,jazz
reasons love,ufo,1976-01-01,66.0,blues
lunchroom chatter,diamond & the psychotic neurotics,1992-01-01,39.0,hip hop
blundertown,the birthday party,1981-01-01,33.0,blues
sinister kid,the black keys,2010-01-01,47.0,blues
ku-u-i-po,elvis presley,1961-01-01,33.0,rock
the unheard music,x,1980-01-01,61.0,pop
maagata maagata janm gele,lata mangeshkar,1953-01-01,52.0,pop
over again,one direction,2012-01-01,131.0,pop
half believing,the black angels,2017-01-01,81.0,blues
one time,king crimson,1995-01-01,62.0,jazz
follow you home,nickelback,2005-01-01,121.0,rock
killing the blues,chris smither,2000-01-01,68.0,country
cherry pink and apple blossom white,eddie calvert,1992-01-01,18.0,jazz
get outside,robert palmer,1974-01-01,55.0,pop
soul of a man,susan tedeschi,2005-01-01,43.0,blues
tell it to me,old crow medicine show,2004-01-01,105.0,country
centerfold,the j. geils band,1981-01-01,116.0,pop
weenie beenie,foo fighters,1995-01-01,48.0,rock
i dig rock and roll music,peter, paul and mary,1967-01-01,51.0,pop
goddaughter (feat. e.n young),pepper,2019-01-01,40.0,reggae
big smoke,tash sultana,2018-01-01,45.0,reggae
remind me to forget,kygo,2017-01-01,128.0,pop
you're my best friend,queen,1975-01-01,53.0,rock
the love,a tribe called quest,1998-01-01,173.0,jazz
breath of my baby,lukas nelson and promise of the real,2017-01-01,73.0,blues
living together, growing together,the 5th dimension,1973-01-01,60.0,pop
i'm ready,john hammond,1964-01-01,70.0,country
death by misadventure,john hiatt,1983-01-01,108.0,country
atrocity exhibition,joy division,1980-01-01,88.0,rock
do you there (feat. marc e. bassy),skizzy mars,2015-01-01,193.0,pop
mind riot,soundgarden,1991-01-01,92.0,rock
colour and shape,joe bonamassa,2000-01-01,68.0,blues
out of love,alessia cara,2018-01-01,46.0,pop
we should be together,don williams,1975-01-01,22.0,country
house of pain,van halen,1984-01-01,31.0,rock
c'mon girl,red hot chili peppers,2006-01-01,112.0,rock
i cast a lonesome shadow,hank thompson,1963-01-01,71.0,country
evil woman,electric light orchestra,1972-01-01,125.0,pop
ain’t our time to die,dorothy,2018-01-01,63.0,blues
you can't stop me (de me stamatas),terror x crew,2012-01-01,143.0,hip hop
hit the road jack,big youth,2014-01-01,152.0,reggae
stare too long,corrosion of conformity,2000-01-01,74.0,rock
party hard,beenie man,2002-01-01,170.0,reggae
break up and make up,cham,1996-01-01,92.0,reggae
never again,breaking benjamin,2015-01-01,23.0,rock
who want the smoke?,lil yachty,2018-01-01,83.0,hip hop
still the night,bodeans,1986-01-01,72.0,pop
somebody up there likes me,david bowie,1975-01-01,199.0,rock
narc,interpol,2004-01-01,81.0,rock
love is the queen,seeed,2003-01-01,84.0,reggae
mojo man from mars,the cramps,2003-01-01,57.0,blues
holiday,green day,2017-01-01,54.0,rock
bittersweet,big head todd and the monsters,1993-01-01,87.0,pop
we got the party,hannah montana,2007-01-01,112.0,pop
readin', rightin', rt. 23,dwight yoakam,1987-01-01,143.0,country
can i see you tonight,tanya tucker,2000-01-01,53.0,country
i'm still here,john hartford,1984-01-01,38.0,country
wax ecstatic (to sell angelina),sponge,1996-01-01,80.0,pop
the royal mile,gerry rafferty,1980-01-01,82.0,country
beggar to a king,george jones,1962-01-01,39.0,country
whatever it takes,hollywood undead,2017-01-01,44.0,rock
why don't we fall in love,amerie,2002-01-01,59.0,pop
little one,highly suspect,2016-01-01,26.0,rock
rhyme writer,pete rock,2017-01-01,173.0,jazz
on the other side,kansas,1979-01-01,66.0,pop
i wonder if i care as much,ricky skaggs,1981-01-01,35.0,country
two teardrops,steve wariner,1999-01-01,129.0,country
billions,russell dickerson,2017-01-01,129.0,country
chevrolet,foghat,1978-01-01,58.0,country
teenage lament '74,alice cooper,1973-01-01,78.0,blues
maria,country joe & the fish,2006-01-01,48.0,blues
trumpets,jason derulo,2013-01-01,114.0,pop
breakdown,grace jones,1980-01-01,70.0,pop
if i were a carpenter,robert plant,1993-01-01,42.0,blues
poison,brent faiyaz,2016-01-01,152.0,pop
la legge del più forte,gli inquilini,2010-01-01,131.0,hip hop
starchild,jamiroquai,2005-01-01,134.0,jazz
u.n.k.l.e. main title theme,unkle,1998-01-01,65.0,jazz
tornado,voivod,1987-01-01,95.0,jazz
timothy gone,margo guryan,1968-01-01,29.0,pop
what a waste,sonic youth,2006-01-01,49.0,blues
gotta get the first plane home,the kinks,1965-01-01,57.0,rock
be careful,israel vibration,1991-01-01,63.0,reggae
dreamin' again,jim croce,1973-01-01,49.0,rock
i'm your torpedo,eagles of death metal,2008-01-01,51.0,blues
tomorrow,kongos,2019-01-01,89.0,blues
after you've gone,judy garland,1955-01-01,61.0,jazz
finger on the trigger,bleu edmondson,2007-01-01,62.0,country
life's highway,steve wariner,1987-01-01,63.0,country
i looked at you,the doors,1967-01-01,41.0,rock
water's edge,seven mary three,1995-01-01,65.0,pop
i surrender, dear,aretha franklin,1962-01-01,43.0,blues
200 years,g. love & special sauce,1997-01-01,151.0,reggae
run red run,the coasters,2005-01-01,92.0,blues
since i fell for you,bonnie raitt,1971-01-01,36.0,pop
everyday,dave matthews band,2001-01-01,70.0,pop
don't push me,ted nugent,1982-01-01,167.0,blues
there goes my everything,loretta lynn,1967-01-01,40.0,country
fix my eyes,for king & country,2015-01-01,32.0,rock
kid dynamo,the buggles,1980-01-01,68.0,pop
turn on the lights,future,2012-01-01,186.0,pop
wonderland,caravan palace,2015-01-01,97.0,jazz
my beloved monster,eels,1996-01-01,33.0,pop
valse hot,sonny rollins,1956-01-01,173.0,jazz
nine lives,aerosmith,1997-01-01,117.0,rock
my mistake,cam,2015-01-01,119.0,country
love is gone,david guetta,2007-01-01,76.0,pop
tee nine chee bit,earth, wind & fire,1974-01-01,33.0,jazz
karn evil 9 3rd impression,emerson, lake & palmer,1973-01-01,90.0,jazz
thriller,fall out boy,2007-01-01,112.0,pop
of all the things we've made,orchestral manoeuvres in the dark,1981-01-01,15.0,pop
close my eyes forever,lita ford,1988-01-01,26.0,rock
all too soon,ella fitzgerald,1957-01-01,26.0,blues
i'll try,lefty frizzell,1951-01-01,34.0,country
the last waltz,engelbert humperdinck,1967-01-01,43.0,pop
grave,thomas rhett,2017-01-01,93.0,country
i wish you love,natalie cole,1993-01-01,50.0,jazz
you're not my god,keith urban,2002-01-01,80.0,country
at calvary,the collingsworth family,2011-01-01,67.0,country
the lung,hiatus kaiyote,2015-01-01,111.0,jazz
that heart belongs to me,george jones,1966-01-01,43.0,country
best of you,pacific dub,2018-01-01,190.0,reggae
money and the power,kid ink,2013-01-01,147.0,pop
santa claus is coming to town,ella fitzgerald,2002-01-01,35.0,blues
raining blood,slayer,1986-01-01,16.0,rock
human leather shoes for crocodile dandies,caravan palace,2015-01-01,34.0,jazz
you're the only one,jimmy cliff,1976-01-01,47.0,reggae
is there a ghost,band of horses,2007-01-01,40.0,pop
i love you because,al martino,1963-01-01,26.0,pop
let me call you sweetheart,hank thompson,1958-01-01,11.0,country
heaven everyday,mel tillis,1995-01-01,44.0,country
promises made,dan fogelberg,1977-01-01,55.0,country
prayer of the refugee,rise against,2006-01-01,97.0,pop
the battle,blood, sweat & tears,1970-01-01,75.0,pop
hop out,yung lean,2016-01-01,46.0,hip hop
i want something more,bad religion,1989-01-01,39.0,pop
joker hysterical face,the fall,1982-01-01,76.0,blues
the steamin' feelin',bob james,1981-01-01,3.0,jazz
one heart,ufo,1985-01-01,107.0,blues
twilight zone,van morrison,1974-01-01,78.0,pop
take a chance,bob seger,1991-01-01,40.0,rock
nic fit,sonic youth,1992-01-01,17.0,blues
i wanna sleep in your arms,the modern lovers,1976-01-01,82.0,pop
the passing stars,thievery corporation,2010-01-01,28.0,jazz
here comes the feeling,asia,1982-01-01,40.0,rock
fallen angel,nazareth,1980-01-01,57.0,blues
night games,charley pride,1984-01-01,103.0,country
always late with your kisses,dwight yoakam,1987-01-01,37.0,country
changes,masicka,2018-01-01,195.0,reggae
mix it up,311,2009-01-01,81.0,reggae
call me back again,wings,1975-01-01,24.0,pop
time,ty segall,2012-01-01,29.0,blues
i do, i do, i do, i do, i do,abba,1975-01-01,21.0,pop
pistol made of bones,the arcs,2015-01-01,34.0,blues
sweet summer,diamond rio,1991-01-01,61.0,country
i do (cherish you),98º,1998-01-01,57.0,pop
harbor lights,willie nelson,1983-01-01,45.0,country
sunshine and rain,stick figure,2015-01-01,38.0,reggae
where it all begins (feat. lady antebellum),hunter hayes,2015-01-01,61.0,country
the first time i saw you,the paragons,1967-01-01,48.0,reggae
retaliation suite,thievery corporation,2008-01-01,35.0,jazz
nashville to kentucky,my morning jacket,1999-01-01,16.0,country
hands down,dashboard confessional,2003-01-01,31.0,pop
i couldn't leave you if i tried,rodney crowell,1988-01-01,65.0,country
love hurts,gram parsons,1974-01-01,45.0,country
king,tesseract,2018-01-01,77.0,jazz
if i could only win your love,emmylou harris,1975-01-01,23.0,pop
one last kiss,bobby vee,1961-01-01,59.0,rock
don't waste my time,paul hardcastle,1985-01-01,79.0,jazz
novacaine,10 years,2017-01-01,76.0,rock
we walked together that night,rudemanners,2017-01-01,62.0,jazz
living sin,emerson, lake & palmer,1972-01-01,41.0,jazz
end of the world,gary moore,1982-01-01,81.0,blues
lean wit it, rock wit it,dem franchize boyz,2006-01-01,192.0,pop
tubesocks,kiefer,2017-01-01,41.0,jazz
lover please,kris kristofferson,1974-01-01,29.0,country
dj business,papa san,1982-01-01,135.0,reggae
megaman,lil wayne,2011-01-01,181.0,pop
yesterday's mistakes,oi va voi,2003-01-01,106.0,jazz
loud,mac miller,2012-01-01,187.0,pop
you're my desire,mary wells,1962-01-01,22.0,pop
you don't want drama,8ball,2017-01-01,80.0,hip hop
no one knows,dion & the belmonts,1959-01-01,34.0,pop
computer god,black sabbath,1992-01-01,83.0,rock
it's not love (but it's not bad),merle haggard,2007-01-01,15.0,country
born to lose,willie nelson,1967-01-01,33.0,country
you & me,jordan rakei,2019-01-01,64.0,jazz
bill bailey, won't you please come home?,big bill broonzy,1960-01-01,71.0,country
love is all,jackie wilson,1959-01-01,58.0,pop
h.,tool,1996-01-01,44.0,rock
swingin',john anderson,1984-01-01,88.0,country
how's it going to be,third eye blind,1997-01-01,69.0,pop
living in sin,bon jovi,1988-01-01,65.0,rock
i'm in a different world,four tops,1968-01-01,110.0,pop
coffee houses,cafe jazz deluxe,2016-01-01,118.0,jazz
praise you in this storm,casting crowns,2005-01-01,36.0,rock
first shot missed him,mississippi john hurt,1991-01-01,35.0,blues
after the ball,johnny cash,1977-01-01,37.0,country
pumpkin pie,the california honeydrops,2010-01-01,9.0,blues
louder than hell,mötley crüe,1985-01-01,54.0,rock
leather so soft,birdman,2006-01-01,182.0,pop
step along,culture,1991-01-01,108.0,reggae
after you,the gladiators,1984-01-01,135.0,reggae
withered and died,richard thompson,1974-01-01,63.0,pop
rain,breaking benjamin,2004-01-01,23.0,pop
me and the bean,spoon,2001-01-01,23.0,pop
i'm ready,fats domino,2007-01-01,92.0,blues
let you go,soja,2012-01-01,70.0,reggae
welcome to the music,bread,1972-01-01,54.0,pop
this romeo ain't got julie yet,diamond rio,1991-01-01,48.0,country
caught by my shadow,albert hammond, jr.,2015-01-01,58.0,blues
real love,jody watley,1989-01-01,97.0,pop
i believe to my soul,al kooper,1964-01-01,57.0,blues
the past has passed away,des rocs,2018-01-01,147.0,blues
1969,the stooges,1969-01-01,13.0,blues
hip hop based freestyle,lil b,2012-01-01,76.0,hip hop
fool of myself,the band camino,2018-01-01,53.0,rock
bite of love,asher d,1990-01-01,28.0,hip hop
don't let it hide,the impressions,1964-01-01,37.0,blues
white walls,between the buried and me,2007-01-01,111.0,jazz
mirror mirror,blind guardian,1998-01-01,159.0,rock
i stand in wonder,joe cocker,1987-01-01,84.0,blues
iceman,albert collins,1991-01-01,46.0,blues
let the power fall on i,max romeo,2002-01-01,59.0,reggae
i am in love,jennifer lara,1982-01-01,38.0,rock
let's lock the door (and throw away the key),jay & the americans,1964-01-01,85.0,pop
i don't remember,jean shepard,1962-01-01,34.0,country
lethargica,meshuggah,2008-01-01,62.0,jazz
in a darkened room,skid row,1991-01-01,28.0,rock
make me smile (come up and see me),steve harley,1975-01-01,27.0,pop
everything i said,the cranberries,1994-01-01,31.0,pop
come pick me up,ryan adams,2000-01-01,52.0,pop
go for you,basia,1987-01-01,137.0,jazz
i am alright,big youth,1972-01-01,98.0,reggae
true to life,uncle tupelo,1991-01-01,79.0,country
she used to be mine,sara bareilles,2015-01-01,31.0,pop
nitroglycerine,the gories,1991-01-01,82.0,blues
the edge of glory,lady gaga,2011-01-01,131.0,pop
lover,ella fitzgerald,1956-01-01,47.0,blues
don't let our love start slippin' away,vince gill,1992-01-01,85.0,country
lonely (feat. yung berg),collie buddz,2007-01-01,143.0,reggae
the devil's been busy,traveling wilburys,1990-01-01,74.0,blues
cast your fate to the wind,the sandpipers,1966-01-01,38.0,pop
beautiful love (take 1),bill evans trio,1961-01-01,67.0,jazz
trouble in paradise,johnny maestro,1993-01-01,15.0,blues
i might have said,ronnie milsap,1984-01-01,52.0,country
hollow bones pt. 1,rival sons,2016-01-01,69.0,blues
my time,fabolous,2009-01-01,124.0,pop
river boat song,j.j. cale,2001-01-01,75.0,blues
happiness is,vince guaraldi trio,1989-01-01,31.0,jazz
